Check_Date,Existing_ID,Part,Option,Existing_Market,Existing_Store,Old_Price,Old_Currency,Old_HUF_Est,New_Market,New_Store,New_Price,New_Currency,New_Product_URL,Match_Quality,Capture_File,Decision,Notes
2026-06-21,CPU_01_PL,CPU,AMD Ryzen 9 9900X Box,Poland,x-kom.pl,1349,PLN,112061,,,,,,,,,
2026-06-21,CPU_01_PL_AMZ,CPU,AMD Ryzen 9 9900X Box,Poland,Amazon.pl,1398.99,PLN,116214,,,,,,,,,
2026-06-21,CPU_01_HU,CPU,AMD Ryzen 9 9900X Box,Hungary,landcomputer.hu,123750,HUF,123750,,,,,,,,,
2026-06-21,CPU_02_PL,CPU,AMD Ryzen 7 9700X Box,Poland,Ceneo lead,1024.2,PLN,85080,,,,,,,,,
2026-06-21,CPU_02_HU,CPU,AMD Ryzen 7 9700X Box,Hungary,Arukereso lead,103490,HUF,103490,,,,,,,,,
2026-06-21,CPU_03_PL,CPU,AMD Ryzen 9 9950X Box,Poland,Ceneo lead,1899,PLN,157750,,,,,,,,,
2026-06-21,CPU_03_HU,CPU,AMD Ryzen 9 9950X Box,Hungary,Konzolvilag,174090,HUF,174090,,,,,,,,,
2026-06-21,MB_01_PL,Motherboard,MSI MAG B850 Tomahawk MAX WiFi,Poland,Amazon.pl,792.95,PLN,65870,Poland,Amazon.pl,978.66,PLN,https://www.ceneo.pl/179688892,Exact_Store,01_Market_Data/2026-06-21/Motherboard/2026-06-21_motherboard_web_refresh.md,Review,"Ceneo page open shows Amazon exact at 978.66 PLN; mainstream market on page is around 1,059 PLN"
2026-06-21,MB_01_HU,Motherboard,MSI MAG B850 Tomahawk MAX WiFi,Hungary,oaziscomputer.hu,82340,HUF,82340,Hungary,aqua.hu,82990,HUF,https://www.arukereso.hu/alaplap-c3128/msi/mag-b850-tomahawk-max-wifi-p1169271847/,Exact_Store,01_Market_Data/2026-06-21/Motherboard/2026-06-21_motherboard_web_refresh.md,Review,"Old Oazis row is stale; current Arukereso page shows AQUA exact at 82,990 HUF and Oazis much higher"
2026-06-21,MB_02_PL,Motherboard,ASRock X870 PRO RS WiFi,Poland,Amazon.pl,849.74,PLN,70588,,,,,,,,,
2026-06-21,MB_02_HU,Motherboard,ASRock X870 PRO RS WiFi,Hungary,Arukereso lead,72290,HUF,72290,,,,,,,,,
2026-06-21,MB_03_HU,Motherboard,MSI MAG B850 Tomahawk WiFi non-MAX,Hungary,Arukereso lead,68590,HUF,68590,,,,,,,,,
2026-06-21,MB_04_PL,Motherboard,Gigabyte X870E AORUS Elite WiFi7,Poland,Ceneo lead,1079,PLN,89633,,,,,,,,,
